token,coefficients
actual,-0.2873952994195212
ali,0.2589293989903668
arancino,-0.20904916563690276
arepa,-0.2873952994195212
arturo,-0.19568194440195036
bbkb,-0.25170089249926025
bbq,0.391153141485868
bistro,-0.16286993975237457
bomba,-0.25170089249926025
box,-0.25170089249926025
cheese,-0.1986789250302544
cheesey,-0.25170089249926025
cheetah,-0.2873952994195212
chef,-0.20452383296164278
chicken,-0.33014916369972824
chickpea,-0.3377186991410022
chou,-0.2873952994195212
chowdery,-0.25170089249926025
come,-0.2873952994195212
commissary,-0.2873952994195212
connect,-0.2873952994195212
crab,-0.25170089249926025
crepes,-0.2873952994195212
disco,-0.2873952994195212
does,-0.25170089249926025
dog,0.5177868659488785
dogs,0.8649977200067486
dragon,-0.2873952994195212
dub,0.30303416050819093
duck,-0.22513596802994168
eat,-0.626420194979783
eatery,-0.22513596802994168
express,-0.25170089249926025
family,-0.22513596802994168
farm,-0.22513596802994168
fat,-0.22513596802994168
feastro,-0.16286993975237457
fryinig,-0.18092180116776924
go,-0.19568194440195036
gourmet,-0.2873952994195212
grilled,-0.1986789250302544
holy,0.391153141485868
hot,0.2589293989903668
house,-0.20452383296164278
it,-0.25170089249926025
japadog,1.0109030639882886
juan,-0.22513596802994168
juice,-0.26526738843623116
kaboom,-0.25170089249926025
kebab,-0.40904766592328556
la,-0.25170089249926025
le,-0.2873952994195212
mac,0.391153141485868
marimba,-0.3377186991410022
master,-0.20452383296164278
meet,-0.29627103128005466
mexico,-0.19568194440195036
mobile,-0.22513596802994168
mogu,-0.3377186991410022
mr,-0.7860792008360089
mum,-0.1986789250302544
naan,-0.20452383296164278
oden,-0.2873952994195212
pan,-0.18092180116776924
park,-0.25170089249926025
potato,-0.2873952994195212
praguery,-0.2051244361515629
railway,-0.25170089249926025
road,-0.20452383296164278
roaming,-0.2873952994195212
rolling,-0.16286993975237457
russett,-0.2873952994195212
san,-0.22513596802994168
sandwich,-0.20904916563690276
sea,0.30303416050819093
shack,-0.2873952994195212
shawarma,-0.36798086956220344
smokes,0.391153141485868
soho,-0.20452383296164278
suassy,-0.2873952994195212
syndicate,-0.2873952994195212
tacofino,-0.3377186991410022
tandoori,0.3095650023529731
taqueria,-0.25170089249926025
thai,-0.2873952994195212
the,-0.8141835655079381
tigre,-0.2873952994195212
tikka,0.3095650023529731
to,-0.491952975682005
tornado,-0.2873952994195212
truck,-0.46394631346648557
van,0.20822186359590536
vij,-0.25170089249926025
wraps,-0.33014916369972824
yokabai,-0.3377186991410022
